SAMPID	SMATSSCR	SMCENTER	SMRIN	SMTS	SMTSD	SMUBRID	SMTSISCH	SMTSPAX	SMNABTCH	SMNABTCHT	SMNABTCHD	SMGEBTCH	SMGEBTCHD	SMGEBTCHT	SMAFRZE	SMGTC	SME2MPRT	SMCHMPRS	SMNTRART	SMNUMGPS	SMMAPRT	SMEXNCRT	SM550NRM	SMGNSDTC	SMUNMPRT	SM350NRM	SMRDLGTH	SMMNCPB	SME1MMRT	SMSFLGTH	SMESTLBS	SMMPPD	SMNTERRT	SMRRNANM	SMRDTTL	SMVQCFL	SMMNCV	SMTRSCPT	SMMPPDPR	SMCGLGTH	SMGAPPCT	SMUNPDRD	SMNTRNRT	SMMPUNRT	SMEXPEFF	SMMPPDUN	SME2MMRT	SME2ANTI	SMALTALG	SME2SNSE	SMMFLGTH	SME1ANTI	SMSPLTRD	SMBSMMRT	SME1SNSE	SME1PCTS	SMRRNART	SME1MPRT	SMNUM5CD	SMDPMPRT	SME2PCTS
GTEX-15RJE-0006-SM-7PC1J	NA	B1	7.5	Blood	Whole Blood	0013756	1165	NA	BP-49273	RNA isolation_PAXgene Blood RNA (Manual)	02/10/2014	LCSET-6762	04/10/2015	TruSeq.v1	RNASEQ		0.95144	407655	0.982027	NA	0.95533	0.809092	NA	17526	1	NA	76	NA	0.00311565	114	0	100807000	0.01567	347660	105520000	16187400	NA	17532	49918500	NA	NA	0	0.172936	0.95533	0.772949	100807000	0.00582798	23798100	178005000	23602200	147	23737800	27398600	0.0044663	24080100	50.3579	0.00329472	0.95922	NA	0	49.7934
GTEX-15RJE-0526-SM-6PAMN	1	B1	6.3	Blood Vessel	Artery - Tibial	0007610	1235	665	BP-51304	RNA Extraction from Paxgene-derived Lysate Plate Based	04/08/2014	LCSET-5864,LCSET-5875	08/23/2014	TruSeq.v1	RNASEQ		0.97757	271080	0.973541	NA	0.985961	0.819147	NA	23153	1	NA	76	NA	0.00320795	286	0	104077000	0.0259976	490826	105559000	11800900	NA	23182	51441500	NA	NA	0	0.154394	0.985961	0.807647	104077000	0.00584664	22339400	8551230	22264700	267	22616000	19681400	0.00451606	22816000	50.2202	0.00464978	0.994352	NA	0	49.9163
GTEX-15RJE-0626-SM-7KUKR	1	B1	6.5	Heart	Heart - Left Ventricle	0006566	1301	599	BP-51043	RNA Extraction from Paxgene-derived Lysate Plate Based	04/01/2014	LCSET-6678	03/07/2015	TruSeq.v1	RNASEQ		0.989704	258489	0.981312	NA	0.991572	0.805613	NA	22707	1	NA	76	NA	0.0034139	371	0	119744000	0.0185901	6349230	120762000	8383280	NA	22731	59638300	NA	NA	0	0.1757	0.991572	0.798822	119744000	0.00456394	25962000	46449900	26378300	362	26356900	9470290	0.00398784	26125700	49.7797	0.0525763	0.993439	NA	0	50.3977
GTEX-15RJE-0726-SM-7KUEG	1	B1	6.8	Heart	Heart - Atrial Appendage	0006631	1304	596	BP-50640	RNA Extraction from Paxgene-derived Lysate Plate Based	03/18/2014	LCSET-6679	03/07/2015	TruSeq.v1	RNASEQ		0.989144	235754	0.975175	NA	0.992496	0.78616	NA	23062	1	NA	76	NA	0.0032277	154	0	72469800	0.0245566	1303740	73017700	6345580	NA	23088	36017000	NA	NA	0	0.189015	0.992496	0.780261	72469800	0.00321444	15704900	8617780	15848300	176	15930900	10532500	0.00322109	15835200	49.8494	0.0178552	0.995848	NA	0	50.2272
GTEX-15RJE-2426-SM-6PAM9	1	B1	7.5	Blood Vessel	Artery - Aorta	0001496	1366	534	BP-50666	RNA Extraction from Paxgene-derived Lysate Plate Based	03/19/2014	LCSET-5864,LCSET-5875	08/23/2014	TruSeq.v1	RNASEQ		0.976623	221318	0.973808	NA	0.985457	0.823172	NA	22891	1	NA	76	NA	0.00328577	219	0	99126200	0.0257422	415985	100589000	12132200	NA	22909	48953300	NA	NA	0	0.150636	0.985457	0.811201	99126200	0.00617987	21119000	11244800	21103400	222	21433500	20005200	0.00471985	21613400	50.2089	0.00413549	0.994291	NA	0	49.9815
GTEX-15SB6-0002-SM-6RBJK	NA	B1	NA	Blood	Whole Blood	0013756	-47	NA	BP-49510	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/14/2014	LCSET-5918	09/01/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SB6-0002-SM-6UH1J	NA	B1	NA	Blood	Whole Blood	0013756	-47	NA	BP-49510	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/14/2014	LCSET-6235	10/01/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SB6-0005-SM-7P8OO	NA	B1	9.4	Blood	Whole Blood	0013756	-48	NA	BP-49507	RNA isolation_PAXgene Blood RNA (Manual)	02/14/2014	LCSET-6758	04/05/2015	TruSeq.v1	RNASEQ		0.979371	1123430	0.956103	NA	0.981443	0.791847	NA	19631	1	NA	76	NA	0.00318831	270	0	118017000	0.0429809	268018	120248000	17694300	NA	19643	58716700	NA	NA	0	0.164256	0.981443	0.777152	118017000	0.00416743	26292900	132030000	26553000	260	26658500	27657600	0.00367684	26443400	49.7974	0.00222887	0.983515	NA	0	50.2461
GTEX-15SDE-0001-SM-6RBLS	NA	B1	NA	Blood	Whole Blood	0013756	-57	NA	BP-49510	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/14/2014	LCSET-5918	09/01/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SDE-0001-SM-6UH2N	NA	B1	NA	Blood	Whole Blood	0013756	-57	NA	BP-49510	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/14/2014	LCSET-6032	09/20/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SDE-0006-SM-7PC19	NA	B1	9.2	Blood	Whole Blood	0013756	-57	NA	BP-49507	RNA isolation_PAXgene Blood RNA (Manual)	02/14/2014	LCSET-6761	04/12/2015	TruSeq.v1	RNASEQ		0.985507	717810	0.960045	NA	0.988717	0.823482	NA	22246	1	NA	76	NA	0.00402175	286	0	128183000	0.0382098	693833	129646000	16600700	NA	22266	63618800	NA	NA	0	0.136563	0.988717	0.814191	128183000	0.00595134	27949800	62112300	28078800	330	28228800	26270600	0.00498341	28189500	49.9651	0.00535176	0.991928	NA	0	50.1152
GTEX-15SDE-1826-SM-7KUFN	1	B1	6.1	Heart	Heart - Atrial Appendage	0006631	277	459	BP-51304	RNA Extraction from Paxgene-derived Lysate Plate Based	04/08/2014	LCSET-6679	03/07/2015	TruSeq.v1	RNASEQ		0.98601	360389	0.980251	NA	0.991273	0.85307	NA	22648	1	NA	76	NA	0.00356879	200	0	87328700	0.0193888	1240200	88097500	7646250	NA	22667	43317800	NA	NA	0	0.127181	0.991273	0.845626	87328700	0.00387322	18536500	9584700	18673500	245	18822800	15911700	0.0037202	18784200	49.9488	0.0140776	0.996537	NA	0	50.184
GTEX-15SDE-2526-SM-6PAL5	1	B1	7.6	Blood Vessel	Artery - Tibial	0007610	347	389	BP-51043	RNA Extraction from Paxgene-derived Lysate Plate Based	04/01/2014	LCSET-5864,LCSET-5875	08/23/2014	TruSeq.v1	RNASEQ		0.975167	205198	0.977999	NA	0.985167	0.852521	NA	23141	1	NA	76	NA	0.0033509	283	0	119111000	0.0215739	556832	120905000	14466100	NA	23161	58778400	NA	NA	0	0.125478	0.985167	0.839876	119111000	0.00649305	25494400	10058900	25417400	329	25871600	25589700	0.00490603	26154900	50.2722	0.00460554	0.995168	NA	0	49.9244
GTEX-15SDE-5013-SM-AN443	NA	B1	NA	Heart	Heart - Left Ventricle	0006566	346	NA						ChIP-Seq			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SHU-0001-SM-6RBL6	NA	C1	NA	Blood	Whole Blood	0013756	1005	NA	BP-49550	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/18/2014	LCSET-5918	09/01/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SHU-0001-SM-6UH2J	NA	C1	NA	Blood	Whole Blood	0013756	1005	NA	BP-49550	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/18/2014	LCSET-6032	09/22/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SHU-0926-SM-6PAMK	1	C1	6.5	Heart	Heart - Atrial Appendage	0006631	1137	1184	BP-51304	RNA Extraction from Paxgene-derived Lysate Plate Based	04/08/2014	LCSET-5864,LCSET-5875	08/23/2014	TruSeq.v1	RNASEQ		0.981415	214141	0.982687	NA	0.988897	0.845394	NA	21648	1	NA	76	NA	0.00298335	368	0	102713000	0.0171639	5508930	103867000	11705800	NA	21663	50873600	NA	NA	0	0.137293	0.988897	0.836008	102713000	0.00538107	22400900	29926600	22501800	356	22808200	9238190	0.00417314	22719100	49.9021	0.0530385	0.99638	NA	0	50.1124
GTEX-15SHU-1026-SM-6PAL7	1	C1	7	Blood Vessel	Artery - Coronary	0001621	1142	1180	BP-51043	RNA Extraction from Paxgene-derived Lysate Plate Based	04/01/2014	LCSET-5864,LCSET-5875	08/23/2014	TruSeq.v1	RNASEQ		0.976343	469370	0.963167	NA	0.985531	0.814062	NA	23214	1	NA	76	NA	0.00327137	276	0	116205000	0.0364954	368432	117911000	14369700	NA	23241	57390900	NA	NA	0	0.149105	0.985531	0.802283	116205000	0.00621591	24237500	22351400	24338300	323	24645500	22451600	0.00472992	24913200	50.2701	0.00312466	0.994718	NA	0	50.1038
GTEX-15SHU-1126-SM-7KUMB	1	C1	6.5	Heart	Heart - Left Ventricle	0006566	1143	1179	BP-50666	RNA Extraction from Paxgene-derived Lysate Plate Based	03/19/2014	LCSET-6678	03/07/2015	TruSeq.v1	RNASEQ		0.988727	152587	0.987821	NA	0.990648	0.847037	NA	18262	1	NA	76	NA	0.00299172	264	0	67806200	0.0121188	4608680	68446300	4553900	NA	18265	33765700	NA	NA	0	0.140784	0.990648	0.839116	67806200	0.00405674	14655800	32527200	15016600	260	14945600	4059620	0.00352319	14810000	49.7721	0.0673327	0.992568	NA	0	50.6081
GTEX-15SHU-1126-SM-CYKTR	1	C1	6.5	Heart	Heart - Left Ventricle	0006566	1143	1179	BP-50666	RNA Extraction from Paxgene-derived Lysate Plate Based	03/19/2014			RIP-Seq			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SHU-1226-SM-718BY	1	C1	7.7	Blood Vessel	Artery - Aorta	0001496	1145	1178	BP-50640	RNA Extraction from Paxgene-derived Lysate Plate Based	03/18/2014	LCSET-6121	11/14/2014	TruSeq.v1	RNASEQ		0.964967	351850	0.975777	NA	0.979158	0.840628	NA	23269	1	NA	76	NA	0.00235716	380	0	119120000	0.0237737	584542	121656000	5785160	NA	23297	58470100	NA	NA	0	0.135149	0.979158	0.823108	119120000	0.00545331	25454700	12599100	25427700	349	26217700	24153300	0.0038828	26281600	50.0608	0.00480488	0.993349	NA	0	49.9735
GTEX-15SHU-1226-SM-7KFSO	1	C1	7.7	Blood Vessel	Artery - Aorta	0001496	1145	1178	BP-50640	RNA Extraction from Paxgene-derived Lysate Plate Based	03/18/2014	LCSET-6680	02/26/2015	TruSeq.v1	EXCLUDE		0.992915	263362	0.976627	NA	0.993978	0.854647	NA	21476	1	NA	76	NA	0.00280955	214	0	89372900	0.022921	435359	89914400	6728380	NA	21490	44477900	NA	NA	0	0.12198	0.993978	0.8495	89372900	0.00269089	19127800	10154700	19472600	232	19430100	18621200	0.00275028	19275600	49.8004	0.00484193	0.99504	NA	0	50.4466
GTEX-15SHV-0002-SM-6RBL7	NA	B1	NA	Blood	Whole Blood	0013756	0	NA	BP-49550	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/18/2014	LCSET-5918	09/01/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SHV-0002-SM-6UH2K	NA	B1	NA	Blood	Whole Blood	0013756	0	NA	BP-49550	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/18/2014	LCSET-6032	09/20/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SHV-0526-SM-7KUEN	1	B1	8	Heart	Heart - Atrial Appendage	0006631	205	788	BP-50640	RNA Extraction from Paxgene-derived Lysate Plate Based	03/18/2014	LCSET-6679	03/07/2015	TruSeq.v1	RNASEQ		0.9848	428350	0.980273	NA	0.990694	0.857313	NA	23062	1	NA	76	NA	0.00283861	268	0	89228600	0.0194386	1369200	90066700	7929800	NA	23081	44229300	NA	NA	0	0.12296	0.990694	0.849335	89228600	0.00348993	19441300	9440980	19539900	288	19733200	15559400	0.00316233	19711800	49.973	0.015202	0.996589	NA	0	50.1264
GTEX-15SHV-0726-SM-6PAMO	1	B1	6.3	Blood Vessel	Artery - Coronary	0001621	212	781	BP-51304	RNA Extraction from Paxgene-derived Lysate Plate Based	04/08/2014	LCSET-5864,LCSET-5875	08/23/2014	TruSeq.v1	RNASEQ		0.978377	216731	0.97661	NA	0.987153	0.855211	NA	22432	1	NA	76	NA	0.00307722	201	0	88678500	0.0230119	494001	89832600	10479200	NA	22450	43828800	NA	NA	0	0.121399	0.987153	0.844225	88678500	0.00583785	19146900	6572820	19093700	203	19389700	18323200	0.00444526	19594200	50.2624	0.00549913	0.99593	NA	0	49.9304
GTEX-15SHV-0826-SM-7KUFA	1	B1	8	Blood Vessel	Artery - Aorta	0001496	214	779	BP-50666	RNA Extraction from Paxgene-derived Lysate Plate Based	03/19/2014	LCSET-6679	03/07/2015	TruSeq.v1	RNASEQ		0.986423	335736	0.977846	NA	0.991241	0.86096	NA	22415	1	NA	76	NA	0.00272989	277	0	92249100	0.0217197	235113	93064300	7711710	NA	22431	45778500	NA	NA	0	0.116886	0.991241	0.853418	92249100	0.00364698	19848600	6777650	20083300	258	20247400	19702400	0.00318621	20105300	49.824	0.00252635	0.996058	NA	0	50.2939
GTEX-15SHV-5004-SM-AN444	NA	B1	NA	Heart	Heart - Left Ventricle	0006566	213	NA						ChIP-Seq			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SHW-0004-SM-6RBKO	NA	C1	NA	Blood	Whole Blood	0013756	419	NA	BP-49550	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/18/2014	LCSET-5918	09/01/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SHW-0004-SM-6UH2L	NA	C1	NA	Blood	Whole Blood	0013756	419	NA	BP-49550	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/18/2014	LCSET-6032	09/20/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SHW-0626-SM-6PALH	1	C1	6.1	Blood Vessel	Artery - Tibial	0007610	578	918	BP-50640	RNA Extraction from Paxgene-derived Lysate Plate Based	03/18/2014	LCSET-5864,LCSET-5875	08/23/2014	TruSeq.v1	RNASEQ		0.976836	203578	0.970934	NA	0.985613	0.796941	NA	24203	1	NA	76	NA	0.00343461	280	0	107745000	0.0287331	1098520	109318000	12151100	NA	24244	53219800	NA	NA	0	0.173992	0.985613	0.785476	107745000	0.00622579	23083100	9170520	23054000	269	23391400	18585300	0.00481777	23640800	50.2651	0.0100488	0.994391	NA	0	49.9684
GTEX-15SHW-1226-SM-6M46C	2	C1	5.7	Heart	Heart - Left Ventricle	0006566	626	872	BP-51043	RNA Extraction from Paxgene-derived Lysate Plate Based	04/01/2014	LCSET-5861	08/08/2014	TruSeq.v1	RNASEQ		0.994229	77373	0.989258	NA	0.995767	0.86591	NA	17566	1	NA	76	NA	0.00354124	261	0	68579300	0.0107119	9008700	68870800	9157610	NA	17570	34199600	NA	NA	0	0.123348	0.995767	0.862245	68579300	0.00468097	15289200	28244900	15072900	271	14701300	2304780	0.00411023	15743700	51.7119	0.130806	0.997305	NA	0	49.6438
GTEX-15SKB-0002-SM-6RBL4	NA	C1	NA	Blood	Whole Blood	0013756	441	NA	BP-49550	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/18/2014	LCSET-5918	09/01/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SKB-0002-SM-6UH2I	NA	C1	NA	Blood	Whole Blood	0013756	441	NA	BP-49550	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/18/2014	LCSET-6032	09/20/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SKB-0526-SM-6PAMP	0	C1	5.8	Blood Vessel	Artery - Tibial	0007610	539	993	BP-51304	RNA Extraction from Paxgene-derived Lysate Plate Based	04/08/2014	LCSET-5864,LCSET-5875	08/23/2014	TruSeq.v1	RNASEQ		0.978996	283427	0.970349	NA	0.986748	0.757578	NA	25594	1	NA	76	NA	0.00341215	279	0	107626000	0.0292452	254315	109072000	11879400	NA	25642	53211400	NA	NA	0	0.212771	0.986748	0.747538	107626000	0.00585825	23515600	10220200	23403700	256	23769200	18526700	0.00462559	23958900	50.1987	0.00233163	0.9945	NA	0	49.8807
GTEX-15SKB-0926-SM-7KUFC	1	C1	6.4	Heart	Heart - Atrial Appendage	0006631	549	984	BP-50666	RNA Extraction from Paxgene-derived Lysate Plate Based	03/19/2014	LCSET-6679	03/07/2015	TruSeq.v1	RNASEQ		0.985459	294719	0.97815	NA	0.990078	0.798785	NA	21797	1	NA	76	NA	0.00317039	198	0	87145600	0.0216385	8495120	88019000	8312150	NA	21818	43230800	NA	NA	0	0.179365	0.990078	0.790859	87145600	0.00331349	18823200	8625270	19079500	254	19227800	12566200	0.00324161	19053300	49.7721	0.0965146	0.994696	NA	0	50.3381
GTEX-15SZO-0004-SM-6RBLK	NA	C1	NA	Blood	Whole Blood	0013756	990	NA	BP-49718	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/21/2014	LCSET-5918	09/01/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15SZO-0004-SM-6UH2X	NA	C1	NA	Blood	Whole Blood	0013756	990	NA	BP-49718	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/21/2014	LCSET-6032	09/20/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15TU5-0004-SM-6RBKZ	NA	C1	NA	Blood	Whole Blood	0013756	596	NA	BP-49718	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/21/2014	LCSET-5918	09/01/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15TU5-0004-SM-6UH2D	NA	C1	NA	Blood	Whole Blood	0013756	596	NA	BP-49718	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/21/2014	LCSET-6032	09/20/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	EXCLUDE		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15TU5-1226-SM-6PAMI	1	C1	5.9	Blood Vessel	Artery - Coronary	0001621	699	484	BP-50666	RNA Extraction from Paxgene-derived Lysate Plate Based	03/19/2014	LCSET-5864,LCSET-5875	08/23/2014	TruSeq.v1	EXCLUDE		0.980435	184904	0.978109	NA	0.98783	0.794263	NA	23345	1	NA	76	NA	0.00340862	208	0	97853900	0.021496	667712	99059400	11581600	NA	23373	48417300	NA	NA	0	0.183846	0.98783	0.784597	97853900	0.0057809	21343400	9198420	21301800	226	21584600	17307600	0.00458588	21756400	50.1981	0.00674052	0.995226	NA	0	49.9513
GTEX-15TU5-1426-SM-7KUN6	1	C1	6.1	Heart	Heart - Left Ventricle	0006566	702	482	BP-50640	RNA Extraction from Paxgene-derived Lysate Plate Based	03/18/2014	LCSET-6678	03/07/2015	TruSeq.v1	EXCLUDE		0.984873	283423	0.985181	NA	0.986676	0.806848	NA	22149	1	NA	76	NA	0.00394803	369	0	132454000	0.0147344	8397890	134242000	9422200	NA	22166	65947500	NA	NA	0	0.178333	0.986676	0.796097	132454000	0.00476363	28387600	80526800	28947800	367	29156800	9355080	0.00435508	28389500	49.3333	0.0625578	0.988479	NA	0	50.4885
GTEX-15TU5-1426-SM-CYKTT	1	C1	6.1	Heart	Heart - Left Ventricle	0006566	702	482	BP-50640	RNA Extraction from Paxgene-derived Lysate Plate Based	03/18/2014			RIP-Seq			NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15UF6-0001-SM-6RBL5	NA	C1	NA	Blood	Whole Blood	0013756	530	NA	BP-49718	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/21/2014	LCSET-5918	09/01/2014	Standard Exome Sequencing v3 (ICE)	WES		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15UF6-0001-SM-6UH2E	NA	C1	NA	Blood	Whole Blood	0013756	530	NA	BP-49718	DNA isolation_Whole Blood_QIAGEN Puregene (Manual)	02/21/2014	LCSET-6032	09/20/2014	PCR+ 30x Coverage WGS v2 (HiSeqX)	WGS		NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GTEX-15UF6-0226-SM-7KUF6	1	C1	5.9	Blood Vessel	Artery - Aorta	0001496	578	1367	BP-50666	RNA Extraction from Paxgene-derived Lysate Plate Based	03/19/2014	LCSET-6679	03/07/2015	TruSeq.v1	RNASEQ		0.986957	262169	0.97197	NA	0.990523	0.776541	NA	23670	1	NA	76	NA	0.00344654	168	0	82754000	0.0276432	318020	83545800	7880060	NA	23701	41065100	NA	NA	0	0.195428	0.990523	0.769181	82754000	0.00342211	17697300	8294800	17961300	186	18074800	14230000	0.00343437	17869900	49.715	0.00380654	0.994088	NA	0	50.3702
GTEX-15UF6-0726-SM-6PALI	1	C1	7	Blood Vessel	Artery - Tibial	0007610	587	1360	BP-50640	RNA Extraction from Paxgene-derived Lysate Plate Based	03/18/2014	LCSET-5864,LCSET-5875	08/23/2014	TruSeq.v1	RNASEQ		0.979119	190302	0.973533	NA	0.987069	0.797078	NA	23609	1	NA	76	NA	0.0033068	279	0	104363000	0.0261382	351128	105730000	11555400	NA	23646	51619900	NA	NA	0	0.176455	0.987069	0.786771	104363000	0.00585806	22603900	9575770	22540200	260	22878300	19272900	0.00457215	23055300	50.1928	0.00332098	0.995018	NA	0	49.9294
